i	j	iLIS_best	iLIS_avg	ipTM_best	ipTM_avg
137	174	0.314	0.184	0.69	0.55
0	164	0.313	0.108	0.38	0.34
68	153	0.313	0.107	0.51	0.35
84	195	0.313	0.099	0.57	0.32
18	175	0.313	0.228	0.37	0.35
3	7	0.312	0.158	0.53	0.44
28	183	0.312	0.062	0.40	0.24
207	238	0.312	0.183	0.54	0.49
131	134	0.312	0.148	0.60	0.42
125	164	0.312	0.189	0.48	0.40
141	202	0.311	0.105	0.57	0.32
22	84	0.311	0.187	0.44	0.36
117	158	0.311	0.173	0.46	0.38
97	176	0.311	0.161	0.61	0.38
81	116	0.311	0.243	0.62	0.55
52	162	0.311	0.068	0.52	0.34
81	174	0.311	0.211	0.63	0.56
121	142	0.311	0.225	0.64	0.58
2	134	0.311	0.125	0.54	0.40
109	117	0.310	0.089	0.43	0.28
21	182	0.310	0.143	0.44	0.32
8	58	0.310	0.251	0.36	0.31
108	115	0.310	0.114	0.49	0.34
3	23	0.309	0.105	0.43	0.34
141	220	0.309	0.114	0.68	0.39
18	100	0.309	0.167	0.30	0.27
98	114	0.309	0.107	0.69	0.45
18	174	0.309	0.225	0.69	0.60
198	224	0.308	0.062	0.38	0.25
8	44	0.308	0.062	0.50	0.29
130	169	0.307	0.224	0.44	0.39
158	159	0.307	0.156	0.48	0.41
58	152	0.307	0.065	0.59	0.30
147	180	0.307	0.088	0.40	0.28
223	239	0.307	0.121	0.66	0.50
132	223	0.306	0.118	0.59	0.39
115	158	0.306	0.117	0.46	0.33
109	170	0.306	0.185	0.44	0.35
204	216	0.305	0.061	0.48	0.28
47	106	0.305	0.189	0.57	0.48
116	120	0.305	0.181	0.38	0.32
206	219	0.305	0.193	0.36	0.31
135	177	0.305	0.105	0.61	0.31
25	126	0.304	0.151	0.33	0.27
125	175	0.304	0.085	0.35	0.28
111	147	0.304	0.161	0.58	0.36
103	144	0.304	0.164	0.36	0.28
200	225	0.304	0.171	0.54	0.41
65	215	0.304	0.096	0.55	0.36
96	176	0.303	0.212	0.55	0.44
228	239	0.303	0.155	0.48	0.39
24	115	0.303	0.193	0.45	0.39
26	83	0.303	0.158	0.33	0.27
18	106	0.303	0.254	0.61	0.57
166	170	0.302	0.138	0.56	0.40
60	181	0.302	0.165	0.56	0.41
150	231	0.302	0.216	0.51	0.44
24	118	0.302	0.108	0.42	0.29
81	96	0.302	0.200	0.69	0.62
65	174	0.302	0.188	0.62	0.56
22	135	0.302	0.204	0.72	0.62
115	116	0.301	0.084	0.39	0.28
80	174	0.301	0.265	0.61	0.58
27	129	0.301	0.104	0.46	0.30
96	137	0.301	0.155	0.73	0.55
33	232	0.301	0.174	0.51	0.36
97	238	0.301	0.205	0.74	0.68
59	192	0.301	0.179	0.47	0.42
206	240	0.300	0.275	0.58	0.55
184	185	0.300	0.061	0.38	0.25
18	152	0.300	0.086	0.56	0.39
26	228	0.300	0.060	0.34	0.24
0	26	0.299	0.114	0.32	0.26
124	125	0.299	0.210	0.48	0.43
229	238	0.299	0.208	0.50	0.48
25	117	0.299	0.172	0.43	0.33
30	191	0.298	0.160	0.50	0.44
67	80	0.298	0.112	0.62	0.44
55	117	0.298	0.129	0.34	0.28
85	165	0.297	0.282	0.33	0.32
116	131	0.297	0.096	0.40	0.30
124	228	0.297	0.105	0.43	0.32
122	124	0.297	0.181	0.42	0.36
3	112	0.297	0.247	0.43	0.42
153	231	0.297	0.086	0.60	0.36
116	127	0.297	0.120	0.33	0.26
29	160	0.297	0.158	0.43	0.37
80	116	0.296	0.185	0.51	0.44
118	166	0.296	0.108	0.57	0.36
142	192	0.296	0.085	0.69	0.40
2	200	0.296	0.255	0.58	0.55
24	200	0.295	0.146	0.59	0.50
82	106	0.295	0.062	0.56	0.30
127	143	0.295	0.241	0.62	0.56
32	207	0.295	0.187	0.56	0.48
207	240	0.294	0.167	0.54	0.46
67	189	0.294	0.258	0.47	0.44
28	70	0.294	0.081	0.54	0.35
133	179	0.293	0.184	0.55	0.45
102	142	0.293	0.192	0.62	0.49
35	90	0.293	0.151	0.63	0.43
18	157	0.293	0.118	0.51	0.35
187	216	0.293	0.154	0.47	0.38
130	199	0.292	0.179	0.40	0.32
29	182	0.292	0.150	0.40	0.34
2	193	0.292	0.084	0.47	0.29
104	144	0.291	0.108	0.26	0.24
130	154	0.291	0.058	0.26	0.20
113	129	0.291	0.086	0.54	0.29
134	179	0.291	0.192	0.56	0.44
182	218	0.291	0.095	0.45	0.34
47	182	0.291	0.175	0.46	0.38
116	192	0.291	0.135	0.41	0.34
62	115	0.290	0.111	0.36	0.29
21	112	0.290	0.121	0.40	0.29
21	78	0.290	0.126	0.28	0.26
26	192	0.289	0.088	0.35	0.26
46	60	0.289	0.135	0.45	0.32
0	138	0.289	0.058	0.38	0.27
129	206	0.289	0.058	0.46	0.24
32	85	0.289	0.147	0.38	0.32
71	170	0.289	0.174	0.50	0.40
130	192	0.289	0.120	0.43	0.34
101	129	0.288	0.063	0.51	0.29
84	186	0.288	0.149	0.35	0.30
62	123	0.288	0.076	0.48	0.33
112	131	0.288	0.200	0.47	0.43
21	96	0.288	0.135	0.62	0.44
97	214	0.287	0.221	0.64	0.59
110	153	0.287	0.242	0.55	0.51
161	240	0.287	0.128	0.35	0.30
130	137	0.287	0.112	0.57	0.36
129	174	0.287	0.141	0.62	0.45
130	170	0.287	0.232	0.44	0.41
22	184	0.287	0.145	0.35	0.32
83	221	0.287	0.087	0.65	0.42
22	194	0.286	0.125	0.52	0.41
228	240	0.286	0.172	0.40	0.37
217	223	0.286	0.057	0.62	0.36
26	58	0.286	0.140	0.34	0.29
146	175	0.286	0.113	0.38	0.30
18	57	0.286	0.233	0.36	0.33
56	117	0.286	0.232	0.34	0.33
29	34	0.285	0.179	0.53	0.43
15	192	0.285	0.194	0.61	0.50
116	226	0.285	0.152	0.65	0.52
95	192	0.285	0.106	0.31	0.26
123	124	0.285	0.066	0.45	0.32
109	169	0.285	0.143	0.43	0.31
187	195	0.285	0.066	0.53	0.26
106	130	0.285	0.187	0.53	0.46
230	233	0.284	0.149	0.51	0.45
26	45	0.284	0.064	0.53	0.28
149	235	0.284	0.129	0.47	0.37
141	228	0.284	0.057	0.59	0.29
60	136	0.284	0.208	0.44	0.41
130	136	0.284	0.088	0.37	0.27
56	70	0.283	0.143	0.51	0.39
43	118	0.283	0.219	0.50	0.46
84	169	0.283	0.109	0.35	0.27
153	227	0.283	0.169	0.57	0.48
26	195	0.283	0.200	0.55	0.48
116	161	0.283	0.090	0.37	0.29
18	188	0.282	0.185	0.51	0.46
175	240	0.282	0.063	0.41	0.29
100	192	0.282	0.104	0.60	0.45
7	117	0.282	0.193	0.51	0.45
94	175	0.282	0.168	0.61	0.49
130	238	0.282	0.151	0.44	0.39
25	121	0.281	0.130	0.33	0.29
22	225	0.281	0.108	0.53	0.44
166	169	0.281	0.056	0.55	0.26
67	231	0.281	0.104	0.39	0.30
128	189	0.281	0.061	0.52	0.28
112	130	0.281	0.182	0.40	0.36
81	106	0.281	0.193	0.51	0.47
126	127	0.280	0.056	0.33	0.26
21	80	0.280	0.128	0.51	0.39
0	4	0.279	0.089	0.36	0.27
16	131	0.279	0.175	0.62	0.52
148	211	0.279	0.056	0.62	0.30
56	116	0.278	0.225	0.38	0.37
175	239	0.278	0.061	0.45	0.32
180	187	0.278	0.082	0.39	0.30
111	141	0.278	0.139	0.64	0.43
0	197	0.278	0.108	0.60	0.42
205	238	0.278	0.114	0.66	0.49
109	115	0.278	0.118	0.43	0.34
9	29	0.278	0.110	0.31	0.24
4	153	0.278	0.155	0.57	0.46
3	136	0.277	0.199	0.45	0.39
189	217	0.277	0.106	0.54	0.36
118	131	0.276	0.058	0.35	0.26
134	142	0.276	0.254	0.62	0.60
53	133	0.276	0.114	0.64	0.44
68	154	0.276	0.070	0.52	0.35
2	170	0.276	0.135	0.45	0.33
80	240	0.276	0.091	0.57	0.38
18	170	0.275	0.118	0.36	0.30
58	192	0.275	0.126	0.40	0.35
26	174	0.275	0.055	0.62	0.38
117	159	0.275	0.215	0.46	0.42
15	239	0.274	0.116	0.57	0.43
96	133	0.274	0.102	0.61	0.41
18	169	0.274	0.109	0.37	0.30
96	117	0.274	0.211	0.70	0.59
229	239	0.273	0.190	0.50	0.48
161	239	0.273	0.087	0.36	0.31
22	153	0.273	0.087	0.48	0.37
61	132	0.273	0.202	0.70	0.59
53	134	0.273	0.091	0.65	0.42
147	236	0.273	0.117	0.34	0.29
125	240	0.273	0.159	0.44	0.39
124	166	0.272	0.108	0.60	0.50
223	238	0.272	0.111	0.69	0.49
88	217	0.272	0.074	0.56	0.33
13	216	0.272	0.054	0.51	0.35
137	193	0.272	0.105	0.51	0.30
134	231	0.272	0.118	0.47	0.36
132	227	0.272	0.103	0.59	0.42
27	71	0.272	0.186	0.48	0.38
2	131	0.272	0.122	0.48	0.33
58	191	0.272	0.187	0.43	0.37
19	153	0.271	0.086	0.54	0.29
53	195	0.271	0.082	0.39	0.23
84	170	0.271	0.119	0.34	0.27
32	176	0.271	0.093	0.71	0.45
158	209	0.271	0.172	0.49	0.40
68	89	0.271	0.054	0.58	0.33
20	45	0.271	0.106	0.50	0.33
21	97	0.271	0.131	0.54	0.40
192	210	0.271	0.131	0.51	0.36
166	207	0.271	0.054	0.52	0.26
28	99	0.270	0.143	0.50	0.42
220	225	0.270	0.169	0.57	0.48
102	135	0.270	0.093	0.65	0.48
117	230	0.270	0.061	0.61	0.34
117	166	0.270	0.207	0.52	0.48
67	118	0.270	0.078	0.36	0.29
81	238	0.270	0.115	0.60	0.48
15	131	0.270	0.114	0.53	0.42
131	133	0.270	0.100	0.60	0.40
26	122	0.270	0.079	0.29	0.24
19	215	0.269	0.069	0.17	0.16
32	152	0.269	0.110	0.61	0.46
117	174	0.269	0.158	0.65	0.50
29	96	0.269	0.072	0.59	0.34
71	131	0.269	0.243	0.49	0.46
115	170	0.269	0.108	0.39	0.31
81	183	0.268	0.089	0.58	0.39
54	203	0.268	0.054	0.54	0.29
174	214	0.268	0.098	0.60	0.40
43	183	0.268	0.132	0.55	0.39
202	239	0.268	0.121	0.57	0.46
136	188	0.268	0.182	0.49	0.39
117	127	0.267	0.068	0.44	0.30
129	218	0.267	0.138	0.47	0.38
32	82	0.267	0.231	0.34	0.32
194	238	0.267	0.124	0.49	0.39
20	106	0.266	0.127	0.56	0.44
76	167	0.266	0.065	0.37	0.25
152	153	0.266	0.106	0.46	0.32
74	114	0.266	0.053	0.35	0.27
24	153	0.266	0.168	0.46	0.40
55	87	0.266	0.053	0.41	0.30
47	175	0.266	0.094	0.33	0.27
76	175	0.266	0.053	0.66	0.31
127	238	0.266	0.104	0.43	0.35
188	217	0.266	0.140	0.56	0.44
176	189	0.266	0.070	0.58	0.34
88	125	0.265	0.227	0.57	0.53
129	153	0.265	0.182	0.53	0.45
20	209	0.265	0.154	0.33	0.30
60	192	0.265	0.202	0.51	0.48
18	96	0.265	0.124	0.66	0.48
57	65	0.265	0.053	0.43	0.28
25	120	0.265	0.053	0.35	0.23
45	153	0.264	0.168	0.50	0.41
4	70	0.264	0.223	0.57	0.50
22	133	0.264	0.151	0.61	0.45
196	227	0.264	0.131	0.60	0.48
56	87	0.264	0.061	0.41	0.29
95	184	0.263	0.209	0.32	0.30
20	44	0.263	0.053	0.49	0.24
2	159	0.263	0.181	0.41	0.36
18	91	0.262	0.059	0.35	0.25
110	169	0.262	0.094	0.48	0.32
194	239	0.262	0.086	0.48	0.36
22	129	0.261	0.065	0.48	0.31
103	118	0.261	0.110	0.28	0.24
29	47	0.261	0.108	0.42	0.28
78	227	0.260	0.218	0.34	0.32
80	106	0.260	0.192	0.51	0.47
3	85	0.260	0.057	0.35	0.26
25	235	0.260	0.077	0.53	0.38
4	136	0.260	0.199	0.41	0.35
9	32	0.260	0.207	0.33	0.32
16	239	0.260	0.083	0.68	0.52
105	175	0.260	0.136	0.50	0.42
1	192	0.259	0.073	0.34	0.28
20	202	0.259	0.089	0.51	0.31
33	52	0.259	0.095	0.51	0.39
188	191	0.259	0.106	0.50	0.33
28	153	0.259	0.165	0.50	0.47
26	160	0.259	0.148	0.31	0.27
60	92	0.258	0.183	0.41	0.38
191	223	0.258	0.123	0.48	0.34
153	154	0.258	0.052	0.53	0.24
143	153	0.258	0.155	0.57	0.43
7	130	0.258	0.189	0.52	0.46
32	191	0.258	0.064	0.37	0.29
35	203	0.258	0.052	0.65	0.29
116	231	0.257	0.051	0.39	0.26
63	231	0.257	0.154	0.31	0.29
137	205	0.257	0.051	0.54	0.25
17	71	0.257	0.179	0.39	0.30
18	158	0.256	0.164	0.48	0.41
47	153	0.256	0.058	0.45	0.33
200	207	0.256	0.085	0.46	0.33
26	92	0.256	0.163	0.42	0.36
11	45	0.256	0.154	0.55	0.43
21	175	0.256	0.083	0.34	0.29
29	132	0.255	0.089	0.56	0.33
23	130	0.255	0.109	0.42	0.32
123	199	0.255	0.072	0.41	0.29
49	95	0.254	0.122	0.46	0.38
143	206	0.254	0.149	0.40	0.34
18	220	0.254	0.127	0.38	0.32
22	111	0.254	0.053	0.45	0.32
144	192	0.254	0.079	0.35	0.29
130	158	0.253	0.218	0.49	0.43
16	153	0.253	0.085	0.48	0.30
47	130	0.253	0.113	0.36	0.29
120	202	0.253	0.117	0.52	0.36
81	97	0.253	0.223	0.66	0.64
26	130	0.253	0.198	0.39	0.37
0	174	0.253	0.116	0.59	0.44
148	180	0.253	0.082	0.46	0.35
159	232	0.253	0.051	0.55	0.24
29	185	0.253	0.185	0.39	0.36
2	133	0.253	0.116	0.52	0.39
23	125	0.252	0.131	0.41	0.32
10	32	0.252	0.208	0.34	0.31
14	138	0.252	0.105	0.60	0.44
158	166	0.252	0.137	0.47	0.40
191	206	0.252	0.209	0.44	0.43
26	191	0.252	0.176	0.36	0.33
97	118	0.252	0.124	0.63	0.50
96	120	0.251	0.109	0.65	0.44
122	175	0.251	0.055	0.38	0.26
121	124	0.251	0.145	0.44	0.38
121	123	0.251	0.050	0.41	0.28
62	167	0.251	0.050	0.45	0.28
134	209	0.251	0.085	0.57	0.45
4	78	0.251	0.099	0.30	0.27
113	137	0.251	0.064	0.45	0.29
69	124	0.251	0.069	0.62	0.43
0	161	0.251	0.211	0.33	0.31
97	117	0.250	0.202	0.68	0.60
46	118	0.250	0.097	0.47	0.30
60	163	0.250	0.191	0.61	0.54
83	144	0.250	0.168	0.39	0.35
60	116	0.250	0.050	0.51	0.33
4	241	0.250	0.109	0.46	0.35
192	200	0.250	0.177	0.54	0.47
10	175	0.250	0.141	0.34	0.31
60	239	0.250	0.089	0.55	0.41
140	200	0.250	0.147	0.58	0.44
126	185	0.249	0.086	0.37	0.30
193	223	0.249	0.146	0.56	0.44
0	134	0.249	0.050	0.52	0.30
125	238	0.249	0.060	0.45	0.37
128	150	0.249	0.201	0.45	0.41
115	135	0.248	0.129	0.53	0.44
69	178	0.248	0.050	0.58	0.31
130	193	0.248	0.140	0.37	0.32
24	188	0.248	0.144	0.39	0.31
160	194	0.248	0.050	0.42	0.27
108	213	0.248	0.088	0.43	0.32
67	193	0.248	0.137	0.49	0.36
131	198	0.247	0.061	0.37	0.27
44	145	0.247	0.164	0.46	0.42
220	231	0.247	0.099	0.33	0.28
23	188	0.247	0.168	0.37	0.33
23	54	0.247	0.049	0.46	0.28
133	209	0.247	0.116	0.62	0.49
115	164	0.247	0.204	0.41	0.37
18	136	0.247	0.135	0.49	0.41
28	176	0.247	0.136	0.62	0.53
122	153	0.247	0.114	0.52	0.43
129	159	0.246	0.148	0.38	0.34
0	110	0.246	0.163	0.46	0.39
58	240	0.246	0.111	0.47	0.33
5	64	0.246	0.086	0.41	0.31
32	214	0.246	0.130	0.50	0.39
2	202	0.246	0.079	0.48	0.31
7	176	0.246	0.099	0.42	0.32
33	97	0.245	0.057	0.64	0.31
128	240	0.245	0.172	0.41	0.37
60	178	0.245	0.051	0.47	0.31
0	56	0.245	0.095	0.37	0.28
129	133	0.245	0.159	0.47	0.43
29	159	0.244	0.068	0.39	0.25
59	196	0.244	0.127	0.42	0.32
34	116	0.244	0.174	0.54	0.49
56	114	0.244	0.142	0.35	0.31
134	140	0.244	0.185	0.61	0.52
110	158	0.244	0.115	0.45	0.36
124	199	0.244	0.060	0.36	0.30
129	158	0.244	0.167	0.37	0.34
84	125	0.243	0.084	0.35	0.26
2	130	0.243	0.181	0.43	0.40
128	142	0.243	0.122	0.62	0.47
80	153	0.243	0.140	0.52	0.38
41	116	0.243	0.156	0.57	0.48
28	239	0.243	0.121	0.47	0.36
27	175	0.242	0.056	0.40	0.26
140	153	0.242	0.188	0.57	0.50
158	167	0.242	0.075	0.45	0.32
107	141	0.242	0.079	0.61	0.35
0	218	0.242	0.060	0.37	0.24
105	164	0.242	0.101	0.46	0.34
33	242	0.242	0.075	0.42	0.25
126	158	0.242	0.157	0.38	0.25
159	209	0.242	0.115	0.45	0.40
60	241	0.242	0.086	0.47	0.35
111	130	0.241	0.174	0.45	0.39
32	199	0.241	0.085	0.32	0.28
53	164	0.241	0.129	0.50	0.41
43	191	0.241	0.134	0.58	0.45
169	188	0.241	0.080	0.59	0.30
43	71	0.241	0.109	0.62	0.32
0	85	0.241	0.115	0.32	0.27
115	147	0.240	0.048	0.36	0.25
0	112	0.240	0.134	0.38	0.34
99	152	0.240	0.108	0.47	0.36
121	158	0.240	0.120	0.34	0.27
33	56	0.239	0.048	0.33	0.21
14	190	0.239	0.048	0.49	0.31
27	239	0.239	0.168	0.45	0.38
131	236	0.239	0.110	0.33	0.28
116	126	0.239	0.127	0.36	0.30
116	158	0.238	0.172	0.48	0.41
20	100	0.238	0.177	0.50	0.45
4	89	0.237	0.148	0.46	0.40
184	188	0.237	0.070	0.54	0.29
116	169	0.236	0.053	0.37	0.26
124	164	0.236	0.121	0.47	0.42
119	217	0.236	0.047	0.41	0.31
18	84	0.236	0.162	0.34	0.29
33	90	0.236	0.164	0.50	0.41
121	202	0.236	0.134	0.46	0.35
125	151	0.236	0.098	0.40	0.32
136	197	0.236	0.068	0.52	0.31
37	90	0.236	0.106	0.53	0.42
16	238	0.236	0.122	0.59	0.53
25	83	0.235	0.078	0.33	0.28
40	47	0.235	0.133	0.54	0.42
118	121	0.235	0.047	0.28	0.23
31	191	0.235	0.085	0.58	0.39
178	241	0.235	0.076	0.37	0.25
21	129	0.235	0.056	0.29	0.22
12	60	0.235	0.047	0.59	0.35
83	150	0.235	0.064	0.42	0.27
74	85	0.234	0.126	0.32	0.29
41	138	0.234	0.083	0.41	0.26
139	202	0.234	0.047	0.53	0.29
20	112	0.234	0.093	0.39	0.31
28	71	0.234	0.186	0.47	0.40
118	144	0.233	0.142	0.26	0.24
53	225	0.233	0.153	0.37	0.26
59	197	0.233	0.118	0.41	0.30
133	231	0.233	0.101	0.54	0.38
117	128	0.233	0.080	0.41	0.28
80	147	0.233	0.084	0.35	0.27
47	59	0.232	0.095	0.37	0.30
152	158	0.232	0.123	0.55	0.40
110	116	0.232	0.113	0.50	0.37
24	130	0.232	0.111	0.41	0.32
59	214	0.232	0.069	0.52	0.30
57	68	0.232	0.053	0.42	0.27
189	214	0.232	0.080	0.45	0.29
3	121	0.232	0.142	0.24	0.23
158	222	0.232	0.171	0.44	0.43
121	127	0.232	0.063	0.36	0.27
202	206	0.232	0.046	0.48	0.25
70	162	0.231	0.091	0.54	0.46
26	220	0.231	0.130	0.40	0.32
81	130	0.231	0.183	0.47	0.36
80	238	0.231	0.123	0.62	0.50
58	155	0.231	0.098	0.31	0.23
200	226	0.231	0.093	0.55	0.36
22	69	0.231	0.090	0.63	0.43
126	202	0.231	0.084	0.48	0.33
140	167	0.230	0.046	0.63	0.28
97	120	0.230	0.105	0.64	0.46
89	139	0.230	0.119	0.55	0.43
29	227	0.230	0.146	0.43	0.38
21	194	0.230	0.168	0.40	0.32
3	154	0.229	0.103	0.51	0.29
0	225	0.229	0.057	0.45	0.29
44	118	0.229	0.071	0.31	0.25
191	200	0.228	0.100	0.42	0.33
44	169	0.228	0.070	0.35	0.26
60	164	0.228	0.100	0.37	0.31
64	111	0.228	0.098	0.48	0.38
45	68	0.228	0.046	0.56	0.33
137	159	0.228	0.159	0.52	0.41
71	164	0.228	0.127	0.47	0.30
153	236	0.227	0.122	0.45	0.41
33	197	0.227	0.090	0.45	0.27
47	60	0.227	0.155	0.42	0.35
26	196	0.227	0.045	0.52	0.27
165	185	0.227	0.152	0.46	0.40
78	121	0.227	0.119	0.29	0.27
117	161	0.226	0.171	0.31	0.29
71	207	0.226	0.056	0.41	0.25
71	236	0.226	0.110	0.43	0.35
79	227	0.226	0.171	0.65	0.56
25	191	0.226	0.045	0.33	0.23
38	120	0.226	0.100	0.59	0.45
122	207	0.225	0.053	0.51	0.30
176	194	0.225	0.065	0.34	0.25
91	223	0.225	0.172	0.49	0.44
45	117	0.225	0.071	0.44	0.32
105	184	0.224	0.061	0.54	0.38
112	115	0.224	0.127	0.37	0.34
7	229	0.224	0.045	0.44	0.24
2	169	0.224	0.045	0.44	0.25
65	231	0.224	0.148	0.30	0.29
18	241	0.224	0.051	0.54	0.30
71	72	0.224	0.069	0.46	0.28
4	77	0.224	0.094	0.47	0.35
153	199	0.224	0.045	0.53	0.26
118	172	0.223	0.075	0.29	0.26
83	227	0.223	0.153	0.38	0.32
21	106	0.223	0.132	0.47	0.39
